rank,word
748,仅
749,追
750,伦
751,炸
752,资
753,画
754,踪
755,射
756,弃
757,傻
758,藏
759,屁
760,瞧
761,修
762,尸
763,闻
764,共
765,懂
766,蒂
767,危
768,专
769,呆
770,介
771,萨
772,魔
773,急
774,碰
775,甚
776,糕
777,苦
778,念
779,适
780,华
781,冲
782,骗
783,厌
784,型
785,麦
786,似
787,红
788,值
789,脚
790,六
791,谋
792,套
793,凯
794,众
795,预
796,际
797,咱
798,波
799,卫
800,聊
801,养
802,导
803,虑
804,私
805,戴
806,毁
807,鱼
808,滚
809,志
810,杂
811,居
812,词
813,食
814,诺
815,读
816,误
817,撒
818,突
819,牛
820,馆
821,规
822,陪
823,州
824,肉
825,形
826,凶
827,森
828,商
829,纪
830,浪
831,石
832,顺
833,举
834,按
835,旅
836,努
837,坚
838,测
839,免
840,喔
841,丝
842,辆
843,乔
844,防
845,句
846,印
847,恋
848,弗
849,季
850,严
851,推
852,伯
853,莉
854,武
855,胜
856,毛
857,压
858,败
859,究
860,评
861,屋
862,双
863,牙
864,斗
865,鸡
866,审
867,南
868,速
869,蠢
870,丈
871,守
872,获
873,八
874,致
875,细
876,勒
877,称
878,塔
879,丢
880,冰
881,态
882,吓
883,古
884,亡
885,状
886,鲁
887,疗
888,操
889,遗
890,判
891,响
892,网
893,箱
894,货
895,围
896,签
897,牌
898,户
899,寻
900,质
901,供
902,奖
903,袋
904,胡
905,脏
906,堂
907,曼
908,效
909,露
910,替
911,娜
912,座
913,园
914,拥
915,睛
916,冒
917,甜
918,股
919,香
920,笔
921,沙
922,扰
923,挑
924,姑
925,爆
926,镇
927,暴
928,困
929,项
930,概
931,摩
932,虽
933,纽
934,享
935,配
936,迹
937,登
938,诞
939,竟
940,叔
941,捕
942,赌
943,阻
944,彩
945,搬
946,属
947,招
948,婆
949,巧
950,骨
951,塞
952,剩
953,酷
954,啡
955,课
956,烟
957,摄
958,封
959,咖
960,低
961,技
962,迟
963,纸
964,烧
965,委
966,暗
967,左
968,输
969,曲
970,仍
971,训
972,借
973,扔
974,善
975,社
976,轮
977,顶
978,聪
979,秀
980,刀
981,莫
982,腿
983,族
984,鞋
985,兵
986,锁
987,妮
988,异
989,誓
990,树
991,木
992,抢
993,档
994,雇
995,广
996,丹
997,银
998,镜
999,群
1000,坦
1001,汉
1002,土
1003,短
1004,伴
1005,播
1006,环
1007,恨
1008,移
1009,编
1010,温
1011,刺
1012,毫
1013,右
1014,野
1015,哭
1016,遍
1017,库
1018,搭
1019,康
1020,症
1021,荣
